InjectedRatio,Repeat,Model,ActualMeanSaturationRatio,MAE,RMSE,R2
0.7,3,QualityAwareTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,3,QualityGatedTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,4,AllSensorsTime,0.7,0.121330218290515,0.157797505450288,0.423245821315425
0.7,4,QualityAwareTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,4,QualityGatedTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,5,AllSensorsTime,0.7,0.121924076508746,0.159336822651013,0.411938444635048
0.7,5,QualityAwareTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,5,QualityGatedTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,6,AllSensorsTime,0.7,0.12158538616238,0.158806005724467,0.415850071172672
0.7,6,QualityAwareTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,6,QualityGatedTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,7,AllSensorsTime,0.7,0.121395260756363,0.159320776464559,0.412056881416551
0.7,7,QualityAwareTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,7,QualityGatedTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,8,AllSensorsTime,0.7,0.121467516141047,0.158533422054237,0.417853686531542
0.7,8,QualityAwareTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,8,QualityGatedTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,9,AllSensorsTime,0.7,0.121817737311418,0.16014772664203,0.405937635952456
