Dataset,FaultSensor,FaultType,SeverityLevel,SeverityValue,SeverityUnit,Model,MAE,RMSE,R2,MacroMAE,NormalizedMAE,P95AbsoluteError,MaximumAbsoluteError
PHM2010,force_z,Bias,1,0.5,signal_sd,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Bias,2,1,signal_sd,FullModel,0.0150516119972662,0.0187010229160057,0.792283526237951,0.0150516119972662,1.20039030129403,0.0335459807102587,0.06433763260484
PHM2010,force_z,Bias,2,1,signal_sd,AutoGate,0.0125435321520139,0.0166387230155194,0.835570324114032,0.0125435321520139,1.00036689372422,0.0335459807102587,0.0583379175024377
PHM2010,force_z,Bias,2,1,signal_sd,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Bias,3,2,signal_sd,FullModel,0.0213886619865874,0.0251771083754256,0.623511326489708,0.0213886619865874,1.70578024539957,0.041600774766141,0.07734047838608
PHM2010,force_z,Bias,3,2,signal_sd,AutoGate,0.0128405625830756,0.0175694779409149,0.816659702953526,0.0128405625830756,1.02405554904568,0.0375488145877564,0.0583379175024377
PHM2010,force_z,Bias,3,2,signal_sd,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Bias,4,3,signal_sd,FullModel,0.0292834665204066,0.0331005291461577,0.349256124429476,0.0292834665204066,2.3354036235952,0.0539794430785467,0.0903493958447086
PHM2010,force_z,Bias,4,3,signal_sd,AutoGate,0.0121123259329989,0.0166182588508777,0.83597454343795,0.0121123259329989,0.965977503188686,0.0363777277071269,0.0594282013920573
PHM2010,force_z,Bias,4,3,signal_sd,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Noise,1,0.25,signal_sd,FullModel,0.0125933579293805,0.0164045505631295,0.840166102589343,0.0125933579293805,1.0043405797265,0.0325986719708507,0.0527877331950677
PHM2010,force_z,Noise,1,0.25,signal_sd,AutoGate,0.0126617343419558,0.0164639412001897,0.83900669009452,0.0126617343419558,1.00979370876727,0.0325986719708507,0.0527877331950677
PHM2010,force_z,Noise,1,0.25,signal_sd,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Noise,2,0.5,signal_sd,FullModel,0.0124123707760858,0.0162098456939227,0.843937709063355,0.0124123707760858,0.989906562724645,0.0341735998070859,0.052200602959494
PHM2010,force_z,Noise,2,0.5,signal_sd,AutoGate,0.0124585130773972,0.0162599763842979,0.842970937626094,0.0124585130773972,0.993586485578331,0.0341735998070859,0.052200602959494
PHM2010,force_z,Noise,2,0.5,signal_sd,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Noise,3,1,signal_sd,FullModel,0.012296605511747,0.0159871937320927,0.848195483812524,0.012296605511747,0.980674096423742,0.0325554241192903,0.0550827224030713
PHM2010,force_z,Noise,3,1,signal_sd,AutoGate,0.0123099428397083,0.0160873841429732,0.846286829299169,0.0123099428397083,0.981737769811873,0.0323461105925383,0.0554362178472973
PHM2010,force_z,Noise,3,1,signal_sd,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Noise,4,2,signal_sd,FullModel,0.0142563933110506,0.0180601410587935,0.806276417132333,0.0142563933110506,1.13697033016307,0.0331044717571759,0.0659103533338933
PHM2010,force_z,Noise,4,2,signal_sd,AutoGate,0.0117901020850794,0.0157845644328537,0.852019182898273,0.0117901020850794,0.940279632292298,0.0309524334822352,0.0588033495153467
PHM2010,force_z,Noise,4,2,signal_sd,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,vibration_x,Saturation,1,0.1,fraction,FullModel,0.0124447548634891,0.0160126044582235,0.847712531186958,0.0124447548634891,0.992489245857999,0.029852771057074,0.0537207133381053
PHM2010,vibration_x,Saturation,1,0.1,fraction,AutoGate,0.0129429317823455,0.0166164422930833,0.836010401037597,0.0129429317823455,1.03221965757951,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Saturation,1,0.1,fraction,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Saturation,2,0.3,fraction,FullModel,0.0133173084673469,0.0169866791103537,0.828621166671408,0.0133173084673469,1.0620768012388,0.0316151542117775,0.0578581756819556
PHM2010,vibration_x,Saturation,2,0.3,fraction,AutoGate,0.0129443863737043,0.0166170892605986,0.83599763079389,0.0129443863737043,1.03233566358337,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Saturation,2,0.3,fraction,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Saturation,3,0.5,fraction,FullModel,0.0149043597055233,0.0189174655266516,0.787447548185759,0.0149043597055233,1.18864669383965,0.0363866180808936,0.0602518298618925
PHM2010,vibration_x,Saturation,3,0.5,fraction,AutoGate,0.0129417982990186,0.016616021548834,0.836018705680185,0.0129417982990186,1.03212926045842,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Saturation,3,0.5,fraction,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Saturation,4,0.7,fraction,FullModel,0.0172738017169921,0.021955384890556,0.713699355026581,0.0172738017169921,1.37761351085316,0.0417188558837905,0.0699410886796935
PHM2010,vibration_x,Saturation,4,0.7,fraction,AutoGate,0.0129405769627576,0.0166156499679199,0.836026039762865,0.0129405769627576,1.03203185692433,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Saturation,4,0.7,fraction,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Dropout,1,0.1,fraction,FullModel,0.0124912847547713,0.0161929298656693,0.84426325756157,0.0124912847547713,0.996200079636175,0.0317731188296324,0.0519969026704982
PHM2010,vibration_x,Dropout,1,0.1,fraction,AutoGate,0.0135592113347155,0.0173039956596388,0.822158541459161,0.0135592113347155,1.08136894455855,0.0317355496530915,0.0653147513616117
PHM2010,vibration_x,Dropout,1,0.1,fraction,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Dropout,2,0.3,fraction,FullModel,0.0125499924696389,0.016363039177932,0.840973992044593,0.0125499924696389,1.00088211446082,0.0335247240902877,0.0515100883777031
PHM2010,vibration_x,Dropout,2,0.3,fraction,AutoGate,0.0138343126451326,0.0176205606376911,0.815592040977099,0.0138343126451326,1.10330871718609,0.0332301897521886,0.0653147513616117
PHM2010,vibration_x,Dropout,2,0.3,fraction,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Dropout,3,0.5,fraction,FullModel,0.0125463869950149,0.0166700013220852,0.834951536732604,0.0125463869950149,1.00059457205201,0.035370451834406,0.0523792258406084
PHM2010,vibration_x,Dropout,3,0.5,fraction,AutoGate,0.0129382651025179,0.0166151788711304,0.836035337805528,0.0129382651025179,1.03184748234637,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Dropout,3,0.5,fraction,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Dropout,4,0.7,fraction,FullModel,0.0124567694705965,0.0165238293003613,0.837833323507069,0.0124567694705965,0.993447430127446,0.0336836921726143,0.0634269037765665
PHM2010,vibration_x,Dropout,4,0.7,fraction,AutoGate,0.0129382343950434,0.0166151746593173,0.836035420932944,0.0129382343950434,1.03184503337581,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Dropout,4,0.7,fraction,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Bias,1,0.5,signal_sd,FullModel,0.0117481691212693,0.0152988675028387,0.86098592209762,0.0117481691212693,0.936935410884564,0.0289674165245336,0.0524805319079558
PHM2010,vibration_x,Bias,1,0.5,signal_sd,AutoGate,0.0118123067844342,0.0153712226975549,0.859667893035704,0.0118123067844342,0.942050492832252,0.0298721452026369,0.0524805319079558
PHM2010,vibration_x,Bias,1,0.5,signal_sd,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Bias,2,1,signal_sd,FullModel,0.0124864249676834,0.016192188679523,0.844277514064275,0.0124864249676834,0.995812503787972,0.0312384336599752,0.0527140639209353
PHM2010,vibration_x,Bias,2,1,signal_sd,AutoGate,0.0125888969688204,0.0162970700177436,0.84225366444797,0.0125888969688204,1.0039848109363,0.0316926193810269,0.0527140639209353
PHM2010,vibration_x,Bias,2,1,signal_sd,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Bias,3,2,signal_sd,FullModel,0.018137858970971,0.0226477386449576,0.695357910302692,0.018137858970971,1.44652346864555,0.0430021390087278,0.0612066082835286
PHM2010,vibration_x,Bias,3,2,signal_sd,AutoGate,0.0185681301897028,0.0231780639310667,0.68092371320605,0.0185681301897028,1.48083829140243,0.0443537923927422,0.0653147513616117
PHM2010,vibration_x,Bias,3,2,signal_sd,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Bias,4,3,signal_sd,FullModel,0.024416400189243,0.0318694257213463,0.396761999363174,0.024416400189243,1.94724724401641,0.06424250527066,0.0935132120825969
PHM2010,vibration_x,Bias,4,3,signal_sd,AutoGate,0.0244915766730509,0.0320774113367167,0.388862627036072,0.0244915766730509,1.95324268969125,0.0647661778652121,0.0935132120825969
PHM2010,vibration_x,Bias,4,3,signal_sd,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Noise,1,0.25,signal_sd,FullModel,0.0126051911744957,0.0162945671784311,0.842302112839324,0.0126051911744957,1.00528430008493,0.0308888663132379,0.0524908350148418
PHM2010,vibration_x,Noise,1,0.25,signal_sd,AutoGate,0.0126532259256431,0.0163482632242885,0.841261065854021,0.0126532259256431,1.00911514886132,0.0311636986433393,0.0524908350148418
PHM2010,vibration_x,Noise,1,0.25,signal_sd,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Noise,2,0.5,signal_sd,FullModel,0.0128107967359809,0.0164971218949187,0.838357118684149,0.0128107967359809,1.02168167479429,0.0316777879029629,0.0533716355535259
PHM2010,vibration_x,Noise,2,0.5,signal_sd,AutoGate,0.0128550680500964,0.0165489084229265,0.837340691413773,0.0128550680500964,1.02521238340539,0.0323792728368312,0.0533716355535259
PHM2010,vibration_x,Noise,2,0.5,signal_sd,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Noise,3,1,signal_sd,FullModel,0.0137575879563913,0.0173855798673327,0.820477628201903,0.0137575879563913,1.09718979967402,0.0320866395595862,0.0564064752008738
PHM2010,vibration_x,Noise,3,1,signal_sd,AutoGate,0.013804919351834,0.0174380902661597,0.819391552559801,0.013804919351834,1.10096455470002,0.0327523356720061,0.0564064752008738
PHM2010,vibration_x,Noise,3,1,signal_sd,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_x,Noise,4,2,signal_sd,FullModel,0.0173678934148997,0.0211298688120884,0.734824242656473,0.0173678934148997,1.3851174753203,0.0373941460949756,0.0692732388752499
PHM2010,vibration_x,Noise,4,2,signal_sd,AutoGate,0.0175197034593791,0.0212614708223823,0.73151079677904,0.0175197034593791,1.39722457089685,0.0381973290588951,0.0692732388752499
PHM2010,vibration_x,Noise,4,2,signal_sd,OracleGate,0.0129382346042603,0.0166151746878318,0.836035420370159,0.0129382346042603,1.0318450500612,0.0297515529309233,0.0653147513616117
PHM2010,vibration_y,Saturation,1,0.1,fraction,FullModel,0.0128879656745666,0.0165797280944282,0.836734273832625,0.0128879656745666,1.02783602194702,0.032685696656255,0.052760263420728
PHM2010,vibration_y,Saturation,1,0.1,fraction,AutoGate,0.0130497786692687,0.0168531404239276,0.831305122441995,0.0130497786692687,1.04074086891617,0.0307747254263327,0.0623312046092667
PHM2010,vibration_y,Saturation,1,0.1,fraction,OracleGate,0.0130449822204567,0.0168500052732894,0.831367880437977,0.0130449822204567,1.04035834439749,0.0307747254263327,0.0623312046092667
PHM2010,vibration_y,Saturation,2,0.3,fraction,FullModel,0.0147604629996932,0.0189559584591451,0.786581672022082,0.0147604629996932,1.17717069976686,0.0389974739224374,0.0557140730784582
PHM2010,vibration_y,Saturation,2,0.3,fraction,AutoGate,0.0130451305367654,0.0168500668952543,0.831366647030465,0.0130451305367654,1.04037017286201,0.0307747254263327,0.0623312046092667
PHM2010,vibration_y,Saturation,2,0.3,fraction,OracleGate,0.0130449822204567,0.0168500052732894,0.831367880437977,0.0130449822204567,1.04035834439749,0.0307747254263327,0.0623312046092667
PHM2010,vibration_y,Saturation,3,0.5,fraction,FullModel,0.0123397395493128,0.0158729136612804,0.850357992957462,0.0123397395493128,0.984114105398131,0.0303278478080677,0.05377794332553
