DetectorFloor,DetectorQuantile,Dataset,TargetSensor,FaultType,TechnicalRepeatN,MeanCorrectDetectionRate,SDCorrectDetectionRate,MeanMAEImprovementPercent
4,97.5,NUAA,vibration_x,Bias,30,0.51359649122807,0.0358655467084768,1.37408050914858
4,97.5,NUAA,vibration_x,Noise,30,0.104605263157895,0.0152929726325529,0.485254465176795
4,97.5,NUAA,vibration_y,Saturation,30,1,0,24.9581641823801
4,97.5,NUAA,vibration_y,Dropout,30,1,0,9.11497907264581
4,97.5,NUAA,vibration_y,Bias,30,0.661842105263158,0.0321652321420881,17.7337822699666
4,97.5,NUAA,vibration_y,Noise,30,0.155921052631579,0.0233816886111283,5.07111759447584
4,97.5,PHM2010,force_z,Saturation,30,1,0,41.1674683924903
4,97.5,PHM2010,force_z,Dropout,30,1,0,50.0166272725524
4,97.5,PHM2010,force_z,Bias,30,0.773615520282187,0.0138807733534797,20.7463960512933
4,97.5,PHM2010,force_z,Noise,30,0.639329805996473,0.0126925831456646,13.2299753809344
4,97.5,PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328
4,97.5,PHM2010,vibration_x,Dropout,30,0.998553791887125,0.000518658749051349,-1.59580759823777
4,97.5,PHM2010,vibration_x,Bias,30,0.454215167548501,0.0124176320434516,15.9683514710964
4,97.5,PHM2010,vibration_x,Noise,30,0.138730158730159,0.00636954717762692,4.57384360272331
4,97.5,PHM2010,vibration_y,Saturation,30,0.998941798941799,4.51681028326696e-16,5.7816785077647
4,97.5,PHM2010,vibration_y,Dropout,30,0.784656084656085,0.00991804989735198,-9.32912763637766
4,97.5,PHM2010,vibration_y,Bias,30,0.111499118165785,0.00785758156074488,1.9333321995449
4,97.5,PHM2010,vibration_y,Noise,30,0.00261022927689594,0.00166119630214794,2.45722452116575
4,99,NUAA,force_z,Saturation,30,0.967105263157894,0.0150618808282194,53.0638338156731
4,99,NUAA,force_z,Dropout,30,0.929166666666667,0.0175924727265529,20.6675950078649
4,99,NUAA,force_z,Bias,30,0.56469298245614,0.0475697517801705,28.0890560114867
4,99,NUAA,force_z,Noise,30,0.617543859649123,0.0323564548826504,47.5159833889533
4,99,NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805
4,99,NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407
4,99,NUAA,vibration_x,Bias,30,0.0646929824561403,0.016668955012134,0.165874640314819
4,99,NUAA,vibration_x,Noise,30,0.00811403508771929,0.00331583508548507,-0.292156384342557
4,99,NUAA,vibration_y,Saturation,30,1,0,24.9581641823801
4,99,NUAA,vibration_y,Dropout,30,1,0,9.11497907264581
4,99,NUAA,vibration_y,Bias,30,0.489912280701754,0.0486754214528467,15.6171404124771
4,99,NUAA,vibration_y,Noise,30,0.0432017543859649,0.0131219260342046,0.821898557309274
4,99,PHM2010,force_z,Saturation,30,1,0,41.1674683924903
4,99,PHM2010,force_z,Dropout,30,1,0,50.0166272725524
4,99,PHM2010,force_z,Bias,30,0.508994708994709,0.0154051336511515,15.8706360586711
4,99,PHM2010,force_z,Noise,30,0.233756613756614,0.0113201762900172,3.38085477372673
4,99,PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328
4,99,PHM2010,vibration_x,Dropout,30,0.831746031746032,0.0100926819632471,-5.39260955201407
4,99,PHM2010,vibration_x,Bias,30,0.151640211640212,0.0107992658836847,0.938901592682808
4,99,PHM2010,vibration_x,Noise,30,0.00564373897707231,0.00108818435790768,-0.3328280107232
4,99,PHM2010,vibration_y,Saturation,30,0.998941798941799,4.51681028326696e-16,5.7816785077647
4,99,PHM2010,vibration_y,Dropout,30,0.659647266313933,0.0134929995513555,-9.98718450056356
