Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianReplacementMAE,CleanMaskDropoutMAE,CleanAutoMAE,CleanTriggerRate,FullRelativeMAE,MedianReplacementRelativeMAE,MaskDropoutRelativeMAE,AutoRelativeMAE,MedianImprovementPercent,MaskDropoutImprovementPercent,AutoImprovementPercent
12,2026071812,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0769839701819179,0,1.04555019038732,1.00201856631321,0.974052440912303,0.987013935879663,4.16351357154757,6.8382895562894,5.59860779959074
12,2026071812,NUAA,W8,31,0.0589604040915583,0.0591326667941798,0.060023138097507,0.0592211516527759,0.032258064516129,1.24522798731454,1.03033507094177,1.01654625361976,1.0497281646976,17.2573150107403,18.3646477612465,15.6999219908758
12,2026071812,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.052176046086479,0,0.989228905616945,1.07176653064919,1.13421074281411,1.12473335537218,-8.34363255699345,-14.656045367654,-13.6979872894763
12,2026071812,PHM2010,c1,315,0.00801215564201792,0.00745896232553072,0.00927987493772298,0.00802047011664012,0.307936507936508,1.18168863630805,0.916640706194732,1.11440435743159,1.12152427940312,22.4295911773686,5.69390927602383,5.09138829437328
12,2026071812,PHM2010,c4,315,0.0150087833008585,0.0154105554207928,0.0154616812654739,0.0151692014908191,0.0920634920634921,1.03173561941813,1.1280234064718,1.12913277698909,1.04100789681793,-9.33260277550259,-9.44012746461943,-0.898706725375022
12,2026071812,PHM2010,c6,315,0.0145958561471217,0.0127749705239092,0.0109423572151784,0.0133401554334141,0.282539682539683,1.35918414335388,0.956147438377632,0.799501730474254,0.896674379692875,29.6528404151133,41.1778209462166,34.0284843611943
13,2026071813,NUAA,W1,29,0.0189662457220917,0.0182759483719491,0.0170741751509185,0.0186268797759544,0.137931034482759,2.13423108699886,1.02993204715442,0.980782854048592,1.00934259156427,51.7422432168438,54.0451425329128,52.7069679702025
13,2026071813,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0139356538370896,0.117647058823529,2.20995738631524,1.13280719463505,1.26108356208096,1.14501241344522,48.7407675075659,42.9362950665931,48.1884845139774
13,2026071813,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0295033416448534,0,1.25947941807279,0.976329849937663,0.916789332298596,0.974521727574618,22.4814763998596,27.2088674778476,22.6250374884411
13,2026071813,NUAA,W4,28,0.0499947737234601,0.0491688217260779,0.0505121994922675,0.0490388805558007,0.0714285714285714,1.20908047550402,0.946163163764025,0.953310363655856,0.972091818057617,21.7452284663184,21.1541015697525,19.6007347937377
13,2026071813,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0308928557556908,0.142857142857143,1.84783319078227,1.34767151504179,1.36909637975023,1.61266047481222,27.0674689812632,25.9080101721397,12.7269451129673
13,2026071813,NUAA,W6,14,0.0360025923619169,0.0375772410008179,0.0365848603558963,0.0340589736308353,0.714285714285714,1.207235612396,1.02531715283608,1.00494734583804,0.964479010259902,15.0690103648342,16.7563203471509,20.108469270079
13,2026071813,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0769839701819179,0,1.04902825177289,0.995133145596029,0.964396737396623,0.98049511301992,5.13762199309429,8.06761059420779,6.53301173129918
13,2026071813,NUAA,W8,31,0.0589604040915583,0.0591326667941798,0.060023138097507,0.0592211516527759,0.032258064516129,1.24548698762378,1.01736398389401,1.00157675312635,1.03766532930398,18.3159684522275,19.5835233062354,16.6859758781019
13,2026071813,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.052176046086479,0,0.945282974993999,1.04709932052963,1.11007240635286,1.1094371940519,-10.7709911454055,-17.4328149049659,-17.3656167941605
13,2026071813,PHM2010,c1,315,0.00801215564201792,0.00745896232553072,0.00927987493772298,0.00802047011664012,0.307936507936508,1.18753166823733,0.919128416909556,1.11643334617071,1.1220018879963,22.6017763152514,5.98706745834819,5.51815012548639
13,2026071813,PHM2010,c4,315,0.0150087833008585,0.0154105554207928,0.0154616812654739,0.0151692014908191,0.0920634920634921,1.03302286988021,1.12582758805738,1.12725464895085,1.03988122849022,-8.98380092862145,-9.12194510094156,-0.663911594793843
13,2026071813,PHM2010,c6,315,0.0145958561471217,0.0127749705239092,0.0109423572151784,0.0133401554334141,0.282539682539683,1.35641520207416,0.952648018457277,0.798534305120107,0.896552391677876,29.7672263625078,41.1290655030238,33.902805696448
14,2026071814,NUAA,W1,29,0.0189662457220917,0.0182759483719491,0.0170741751509185,0.0186268797759544,0.137931034482759,2.15815710255978,1.02817442065251,0.987596511289405,0.994511193923455,52.3586851284834,54.2388962268771,53.9184986698203
14,2026071814,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0139356538370896,0.117647058823529,2.30596987770462,1.1248826073007,1.25474272959706,1.14384070040657,51.2186773046484,45.5872020823604,50.3965463093927
