Dataset,TargetSensor,FaultType,SeverityBin,RecordScenarioRows,IndependentUnitN,TechnicalRepeatN,MeanDurationFraction,MeanSeverity,FixedMAE,DetectorGuidedMedianMAE,DetectorGuidedMaskMAE,SQTR_MAE,BestDeployableResponse,OracleEnvelopeMAE,MeanSQTRRegret,CorrectDetectionRate,MissRate,WrongChannelRate,OracleFullFraction,OracleMedianFraction,OracleMaskFraction,OracleExclusionFraction
PHM2010,force_z,Saturation,Medium,9461,3,30,0.400602316976293,0.400602316976293,0.0194581177215741,0.0133135332831654,0.0113235487581291,0.0111107631809536,SQTR,0.00797332885330878,0.00313743432764478,1,0,0,0.258006553218476,0.222809428178839,0.240355142162562,0.278828876440123
PHM2010,force_z,Saturation,High,9481,3,30,0.599433485227364,0.599433485227364,0.0211838668337616,0.0131395705928742,0.011165039113572,0.0109168357257278,SQTR,0.00688072179315686,0.00403611393257093,1,0,0,0.279506381183419,0.199135112329923,0.218225925535281,0.303132580951376
PHM2010,force_z,Dropout,Low,9540,3,30,0.200253108691609,0.200253108691609,0.0141297690659157,0.0132989303959831,0.0112563884527544,0.0110461918495012,SQTR,0.00766568263067405,0.00338050921882718,1,0,0,0.259119496855346,0.24769392033543,0.183857442348008,0.309329140461216
PHM2010,force_z,Dropout,Medium,9433,3,30,0.40059197292277,0.40059197292277,0.0196243574452567,0.0133236905752432,0.0114122958286396,0.0111260703956205,SQTR,0.00787904115733136,0.00324702923828911,1,0,0,0.206085020672109,0.226227075161666,0.205872999045903,0.361814905120322
PHM2010,force_z,Dropout,High,9377,3,30,0.60051309752285,0.60051309752285,0.0324096452506018,0.0130311466109104,0.0109439952588318,0.0108138326487511,SQTR,0.00794639410980485,0.00286743853894624,1,0,0,0.0945931534605951,0.244641143222779,0.261277594113256,0.39948810920337
PHM2010,force_z,Bias,Low,9480,3,30,0.602833298228189,0.914282126798784,0.0126204419895965,0.0121868104367564,0.0120462868913981,0.0120590986241199,MaskDropout,0.00811899970914586,0.00394009891497407,0.213396624472574,0.769831223628692,0.0167721518987342,0.268248945147679,0.234388185654008,0.207489451476793,0.289873417721519
PHM2010,force_z,Bias,Medium,9507,3,30,0.602792559904587,1.74883968666353,0.0138328168444061,0.012834524438136,0.0124247850178549,0.0121543074152814,SQTR,0.00796111308659019,0.00419319432869121,0.503418533712002,0.484590301882823,0.0119911644051751,0.263805616913853,0.232881035026822,0.193436415272957,0.309876932786368
PHM2010,force_z,Bias,High,9363,3,30,0.601001364366055,2.58523576395201,0.0163655243654966,0.0132752911243756,0.0121295919593827,0.0117780233367809,SQTR,0.00789611438754692,0.00388190894923397,0.813948520773256,0.176545978852932,0.00950550037381181,0.234540211470682,0.229413649471323,0.214461176973192,0.321584962084802
PHM2010,force_z,Noise,Low,9367,3,30,0.602237895604276,0.539915427212904,0.012742888085227,0.0128043336229616,0.0126887755350561,0.0128024339357552,MaskDropout,0.00810776195037842,0.00469467198537679,0.0229529198249173,0.957296893348991,0.0197501868260916,0.283441870396071,0.251414540407815,0.203053272125547,0.262090317070567
PHM2010,force_z,Noise,Medium,9524,3,30,0.603333308522611,1.12271440397991,0.0132663500732678,0.0134498854853476,0.0136144482077375,0.0131323964989599,SQTR,0.00766688923228804,0.00546550726667183,0.185531289374213,0.794834103317934,0.0196346073078538,0.31037379252415,0.25419991600168,0.19697606047879,0.23845023099538
