CaseID,ActualWearThreshold,HighWearRecordN,Model,MAE,RMSE,MeanResidual,UnderpredictionRate,AlertMissRate,AlertSensitivity,LargeUnderpredictionN,MaximumUnderprediction
12,0.6,1,SafetyWeightedTimeGated,0.079068545334569,0.079068545334569,-0.079068545334569,1,1,0,0,0.079068545334569
5,0.6,1,PrimaryTimeGated,0.185251452330656,0.185251452330656,0.185251452330656,0,0,1,0,0
5,0.6,1,SafetyWeightedTimeGated,0.185251452330656,0.185251452330656,0.185251452330656,0,0,1,0,0
8,0.6,1,PrimaryTimeGated,0.20310242017828,0.20310242017828,-0.20310242017828,1,1,0,1,0.20310242017828
8,0.6,1,SafetyWeightedTimeGated,0.20310242017828,0.20310242017828,-0.20310242017828,1,1,0,1,0.20310242017828
13,0.6,6,PrimaryTimeGated,0.592189564189478,0.635244530260748,-0.592189564189478,1,0.833333333333333,0.166666666666667,6,1.04163260812232
13,0.6,6,SafetyWeightedTimeGated,0.592189564189478,0.635244530260748,-0.592189564189478,1,0.833333333333333,0.166666666666667,6,1.04163260812232
14,0.6,3,PrimaryTimeGated,0.305731381936566,0.357508569138505,-0.305731381936566,1,1,0,2,0.544639007451802
14,0.6,3,SafetyWeightedTimeGated,0.305731381936566,0.357508569138505,-0.305731381936566,1,1,0,2,0.544639007451802
15,0.6,1,PrimaryTimeGated,0.00011591906983599,0.00011591906983599,0.00011591906983599,0,0,1,0,0
15,0.6,1,SafetyWeightedTimeGated,0.0670485628934311,0.0670485628934311,0.0670485628934311,0,0,1,0,0
16,0.6,1,PrimaryTimeGated,0.0233683127013979,0.0233683127013979,-0.0233683127013979,1,1,0,0,0.0233683127013979
16,0.6,1,SafetyWeightedTimeGated,0.0233683127013979,0.0233683127013979,-0.0233683127013979,1,1,0,0,0.0233683127013979
9,0.8,1,PrimaryTimeGated,0.118293078694769,0.118293078694769,-0.118293078694769,1,1,0,0,0.118293078694769
9,0.8,1,SafetyWeightedTimeGated,0.118293078694769,0.118293078694769,-0.118293078694769,1,1,0,0,0.118293078694769
13,0.8,5,PrimaryTimeGated,0.652023053081246,0.68342544826861,-0.652023053081246,1,1,0,5,1.04163260812232
13,0.8,5,SafetyWeightedTimeGated,0.652023053081246,0.68342544826861,-0.652023053081246,1,1,0,5,1.04163260812232
14,0.8,2,PrimaryTimeGated,0.412104318459784,0.432891918473207,-0.412104318459784,1,1,0,2,0.544639007451802
14,0.8,2,SafetyWeightedTimeGated,0.412104318459784,0.432891918473207,-0.412104318459784,1,1,0,2,0.544639007451802
